Page_ID,Page_name,Disclaimer,Amount_spent(INR),Number_of_ads_in_Library
1.09334E+14,I love Perambalur,I love Perambalur,27211,24
1.07755E+14,We Support Maulana Badruddin Ajmal,We Support Maulana Badruddin Ajmal,27198,20
2.62274E+14,Geetha Shivarajkumar For Shivamogga,Geetha Shivarajkumar For Shivamogga,27192,28
2.04577E+14,Neti Mukhyaamshaalu,Neti Mukhyaamshaalu,27154,9
1.1081E+14,Mathurbhai Savani,Dhyanvi Technologies,27153,9
4.21962E+14,Dhananjay Mahadik MP Kolhapur,Ashwamedha Media,27147,3
1.51403E+14,BJP Supporters for Bankura,BJP Supporters for Bankura,27146,66
1.08539E+14,Hindustan News Junction,Hindustan News Junction,27130,98
1.38046E+15,Murlidhar Mohol,Murlidhar Mohol,27116,16
2.97608E+14,मथुरा की बात,Kinex Technologies,27114,46
1.08493E+14,Satyam Srirangam - INC,Satyam Srirangam - INC,27083,314
1.15931E+14,Sandeep Rath,Sandeep Rath,27076,23
1.44997E+14,Ravneet Singh Bittu,RIEHCS.com,27063,24
1.04023E+14,Adv Balbir Singh,Adv Balbir Singh,26984,45
2.59615E+14,Banglar Pulse TV,Banglar Pulse TV,26966,224
9.35503E+14,Pant Path,Pant Path,26960,23
1.14335E+14,Reddeppagari Madhavi,Reddeppagari Madhavi,26948,55
1.83035E+15,Naresh Yadav,Naresh Yadav,26942,43
1.63107E+15,With OC,With OC,26926,30
1.00701E+14,Mahesh Chouhan,Sublize,26843,2
1.41876E+15,Mo Bhandaripokhari,Mo Bhandaripokhari,26782,3
2.03546E+14,Vinod Rao Tandra,Vinod Rao Tandra,26780,37
1.17013E+15,Anil Maan Nalwa,Anil Maan Nalwa,26761,44
1.84307E+14,Centre for Environment Health and Safety - CEHS - IGMPI,These ads ran without a disclaimer,26752,1
1.03947E+14,Deepali Das,Deepali Das,26720,30
2.68192E+14,Regati Raghurami Reddy,Regati Raghurami Reddy,26667,21
1.09821E+14,Indian Peoples Adhikar Party,Indian Peoples Adhikar Party (IPAP),26631,38
1.1352E+14,Anand Prakash Miri,Anand Prakash Miri,26622,8
7.00359E+14,Mahesh Chauhan,Mahesh Chauhan,26614,115
2.2281E+14,Deo Palghar,Deo Palghar,26584,18
6.8472E+14,Susieben Shah,Susieben Shah,26572,12
1.0197E+14,Sanjay Sharma,Sanjay Sharma,26547,44
1.10884E+14,Q Group Media,Q Group Media,26517,15
2.30274E+15,જૂનાગઢ-ગિરસોમનાથ,જૂનાગઢ-ગિરસોમનાથ,26492,6
1.03948E+14,"ज्योति रौतेला- आपकी बेटी, आपकी बहन","ज्योति रौतेला- आपकी बेटी, आपकी बहन",26478,1
1.11111E+14,Priya Shakya,MEOG IT SOLUTIONS,26408,218
2.81519E+14,Soro Maguchi Parshuram Dhada,odiatazakhabar,26407,65
9.26631E+14,Harsh Malhotra,Harsh Malhotra,26407,44
3.0944E+14,Jagatsinghpur Maguchi Amarendra Das,odiatazakhabar,26400,65
9.86314E+14,Adhir Speaks,Adhir Speaks,26395,5
2.3181E+14,The Savera Times,The Savera Times,26392,75
1.78989E+14,Jai Bharat National Party,Jai Bharat National Party,26327,11
1.79418E+15,Rikesh Sen  मोदी का परिवार,Rikesh Sen  मोदी का परिवार,26319,94
1.55182E+15,News 7 Bulletin,News 7 Bulletin,26310,21
2.85285E+14,Venkata Sivaramaraju Vetukuri,Venkata Sivaramaraju Vetukuri,26244,12
1.17531E+15,Anil Kumar,Anil Kumar,26240,19
1.32039E+14,Hindi Khabar Bharat,Hindi Khabar Bharat,26222,4
2.05328E+14,DK Suresh,DK Suresh,26205,15
6.62096E+14,Dubey Clinic,Dubey Clinic,26198,12
2.35733E+14,Udala Maage Bhaskar Madhei,Dainika Barta,26169,72
9.00643E+14,Congress Cyber Team,Congress Cyber Team,26117,43
2.45256E+14,Manish Sinha BJP,Lemon Dot Media Private Limited,26116,2
1.09603E+14,Telugu Desam Party: Tanuku,Telugu Desam Party,26105,14
2.66984E+14,Narayan Das Ahirwar Advocate,Digiway EMedia Solutions Private Ltd,26101,236
1.60452E+14,Koraputra Gouraba Saptagiri Ulaka,MI,26094,95
1.03207E+14,Tollygunge Trinamool Congress,Tollygunge Trinamool Congress,26067,23
1.01643E+14,Ravinder Machhrauli,Ravinder Machhrauli,26056,18
2.92217E+14,Harsh Sanghavi,Harsh Sanghavi,26051,21
4.35485E+14,Saroj Pandey Fans Club,Saroj Pandey Fans Club,26040,10
1.03953E+14,Jyoti Khandelwal,Jyoti Khandelwal,26034,113
1.35552E+14,Motwani Group,Motwani Group,26005,2
2.53957E+14,We Support Er. Taba Tedir,Suryanetram,25996,91
4.47337E+14,Rakesh Jain,Rakesh Jain,25994,43
3.42596E+14,Audhesh Prasad,Audhesh Prasad,25934,17
6.63975E+14,Satbir Bhana,सतबीर भाणा हल्का पुण्डरी,25923,114
1.14146E+14,Telugu Desam Party: Guntur West,Telugu Desam Party,25917,15
1.39435E+15,The Statesman,The Statesman,25912,139
1.0592E+14,Pradeep Kumar Majhi,Pradeep Kumar Majhi,25886,16
